12-09-2023,12:47:30
Wavenumber(cm-1),Intensity
 250 , 4070.48 
 251 , 4070.48 
 252 , 4019.94 
 253 , 3969.63 
 254 , 3922.1 
 255 , 3876.56 
 256 , 3829.98 
 257 , 3780.59 
 258 , 3729.28 
 259 , 3677.33 
 260 , 3625.28 
 261 , 3573.55 
 262 , 3524.82 
 263 , 3483.47 
 264 , 3452.14 
 265 , 3429.13 
 266 , 3412.4 
 267 , 3399.82 
 268 , 3388.19 
 269 , 3373.98 
 270 , 3354.67 
 271 , 3329.75 
 272 , 3303.33 
 273 , 3279.72 
 274 , 3259.18 
 275 , 3238.59 
 276 , 3216.76 
 277 , 3197.68 
 278 , 3185.55 
 279 , 3179.3 
 280 , 3174.05 
 281 , 3166.55 
 282 , 3157.39 
 283 , 3147.68 
 284 , 3136.54 
 285 , 3121.89 
 286 , 3104.24 
 287 , 3087.34 
 288 , 3074.1 
 289 , 3064.71 
 290 , 3059.65 
 291 , 3058.55 
 292 , 3059.29 
 293 , 3058.86 
 294 , 3054.75 
 295 , 3046.62 
 296 , 3037.16 
 297 , 3028.33 
 298 , 3019.41 
 299 , 3008.87 
 300 , 2997.47 
 301 , 2987.15 
 302 , 2978.52 
 303 , 2970.08 
 304 , 2960.02 
 305 , 2949.1 
 306 , 2941.61 
 307 , 2940.93 
 308 , 2946.28 
 309 , 2955.56 
 310 , 2967.52 
 311 , 2981.33 
 312 , 2995.65 
 313 , 3007.57 
 314 , 3014.16 
 315 , 3015.77 
 316 , 3015.11 
 317 , 3014.16 
 318 , 3014.74 
 319 , 3018.79 
 320 , 3025.81 
 321 , 3033.69 
 322 , 3040.26 
 323 , 3044.07 
 324 , 3044.97 
 325 , 3043.78 
 326 , 3040.58 
 327 , 3035.43 
 328 , 3029.44 
 329 , 3024.47 
 330 , 3021.38 
 331 , 3020.49 
 332 , 3022.98 
 333 , 3030.51 
 334 , 3042.21 
 335 , 3053.74 
 336 , 3061.37 
 337 , 3065.13 
 338 , 3065.83 
 339 , 3063.53 
 340 , 3057.93 
 341 , 3050.05 
 342 , 3042.61 
 343 , 3037.36 
 344 , 3032.66 
 345 , 3026.23 
 346 , 3017.87 
 347 , 3008.46 
 348 , 2998.03 
 349 , 2986.14 
 350 , 2973.25 
 351 , 2962.02 
 352 , 2955.24 
 353 , 2952.08 
 354 , 2948.6 
 355 , 2942.63 
 356 , 2937.04 
 357 , 2935.08 
 358 , 2935.35 
 359 , 2933.96 
 360 , 2929.73 
 361 , 2925.15 
 362 , 2921.96 
 363 , 2918.47 
 364 , 2912.36 
 365 , 2903.78 
 366 , 2894.41 
 367 , 2885.42 
 368 , 2878.63 
 369 , 2876.38 
 370 , 2878.89 
 371 , 2884.27 
 372 , 2890.73 
 373 , 2897.53 
 374 , 2904.05 
 375 , 2908.84 
 376 , 2910.1 
 377 , 2907.89 
 378 , 2904.27 
 379 , 2901.26 
 380 , 2900.24 
 381 , 2902.31 
 382 , 2907.66 
 383 , 2916.11 
 384 , 2926.73 
 385 , 2937.6 
 386 , 2947.43 
 387 , 2957.78 
 388 , 2970.59 
 389 , 2984.48 
 390 , 2995.87 
 391 , 3003.65 
 392 , 3011.19 
 393 , 3021.4 
 394 , 3031.96 
 395 , 3039.08 
 396 , 3043.26 
 397 , 3048.9 
 398 , 3058.72 
 399 , 3071.24 
 400 , 3084.71 
 401 , 3099.28 
 402 , 3115.64 
 403 , 3133.01 
 404 , 3149.3 
 405 , 3162.92 
 406 , 3173.44 
 407 , 3180.47 
 408 , 3183.87 
 409 , 3183.99 
 410 , 3180.06 
 411 , 3168.71 
 412 , 3147.67 
 413 , 3121.82 
 414 , 3098.41 
 415 , 3084.11 
 416 , 3084.29 
 417 , 3099.22 
 418 , 3120.84 
 419 , 3141.47 
 420 , 3156.95 
 421 , 3163.08 
 422 , 3156.27 
 423 , 3135.1 
 424 , 3101.11 
 425 , 3061.7 
 426 , 3024.33 
 427 , 2993.52 
 428 , 2972.63 
 429 , 2960.01 
 430 , 2948.03 
 431 , 2932.37 
 432 , 2919.64 
 433 , 2917.4 
 434 , 2925.03 
 435 , 2938.05 
 436 , 2953.27 
 437 , 2968.42 
 438 , 2980.84 
 439 , 2987.93 
 440 , 2988 
 441 , 2982.33 
 442 , 2973.93 
 443 , 2966.35 
 444 , 2964.07 
 445 , 2970.84 
 446 , 2987.34 
 447 , 3013.51 
 448 , 3045.47 
 449 , 3075.21 
 450 , 3097.39 
 451 , 3114.5 
 452 , 3130.42 
 453 , 3143.76 
 454 , 3149.52 
 455 , 3146.17 
 456 , 3137.47 
 457 , 3127.44 
 458 , 3117.09 
 459 , 3105.69 
 460 , 3092.89 
 461 , 3079.81 
 462 , 3067.61 
 463 , 3056.43 
 464 , 3045.12 
 465 , 3030.72 
 466 , 3011.08 
 467 , 2988.75 
 468 , 2968.05 
 469 , 2950.39 
 470 , 2933.87 
 471 , 2916.68 
 472 , 2898.02 
 473 , 2877.81 
 474 , 2859.01 
 475 , 2845.84 
 476 , 2840.54 
 477 , 2843.26 
 478 , 2853.89 
