03-03-2024,14:49:56
Wavenumber(cm-1),Intensity
 250 , 36421.53 
 251 , 36421.53 
 252 , 36401.03 
 253 , 36352.77 
 254 , 36309.31 
 255 , 36288.99 
 256 , 36281.1 
 257 , 36273.53 
 258 , 36268.08 
 259 , 36272.24 
 260 , 36286.91 
 261 , 36307.18 
 262 , 36329.34 
 263 , 36348.45 
 264 , 36357.74 
 265 , 36356.68 
 266 , 36352.24 
 267 , 36348.82 
 268 , 36338.7 
 269 , 36312.24 
 270 , 36275.67 
 271 , 36248.43 
 272 , 36239.91 
 273 , 36237.99 
 274 , 36230.72 
 275 , 36222.32 
 276 , 36224.66 
 277 , 36241.93 
 278 , 36269.73 
 279 , 36307.99 
 280 , 36361.14 
 281 , 36428.91 
 282 , 36503.91 
 283 , 36581.86 
 284 , 36659.2 
 285 , 36729.4 
 286 , 36788.69 
 287 , 36833.67 
 288 , 36856.97 
 289 , 36855.71 
 290 , 36841.02 
 291 , 36831.06 
 292 , 36834.66 
 293 , 36839.6 
 294 , 36827.98 
 295 , 36809.18 
 296 , 36812.29 
 297 , 36843.19 
 298 , 36874.3 
 299 , 36880.94 
 300 , 36872.67 
 301 , 36871.12 
 302 , 36878.18 
 303 , 36882.61 
 304 , 36880.96 
 305 , 36884.58 
 306 , 36904.38 
 307 , 36935.76 
 308 , 36964.88 
 309 , 36983.57 
 310 , 36990.43 
 311 , 36984.45 
 312 , 36969.92 
 313 , 36956.35 
 314 , 36953.29 
 315 , 36967.52 
 316 , 37001.4 
 317 , 37043.62 
 318 , 37080.6 
 319 , 37106.47 
 320 , 37120.22 
 321 , 37121.47 
 322 , 37112.99 
 323 , 37099.09 
 324 , 37088.76 
 325 , 37092.54 
 326 , 37114.35 
 327 , 37148.87 
 328 , 37186.29 
 329 , 37211.94 
 330 , 37214.29 
 331 , 37198.87 
 332 , 37176.92 
 333 , 37152.45 
 334 , 37122.83 
 335 , 37090.46 
 336 , 37071.66 
 337 , 37082.33 
 338 , 37116.24 
 339 , 37154.6 
 340 , 37185.44 
 341 , 37211.97 
 342 , 37239.88 
 343 , 37265.13 
 344 , 37275.22 
 345 , 37271.95 
 346 , 37277.89 
 347 , 37307.1 
 348 , 37343.82 
 349 , 37364.25 
 350 , 37365.89 
 351 , 37371.31 
 352 , 37394.22 
 353 , 37414.41 
 354 , 37405.71 
 355 , 37370.45 
 356 , 37335.32 
 357 , 37321.43 
 358 , 37319.28 
 359 , 37306.82 
 360 , 37282.92 
 361 , 37270.19 
 362 , 37282.64 
 363 , 37301.29 
 364 , 37293.33 
 365 , 37250.72 
 366 , 37199.83 
 367 , 37167.51 
 368 , 37147.8 
 369 , 37123.91 
 370 , 37103.33 
 371 , 37098.41 
 372 , 37107.78 
 373 , 37114.61 
 374 , 37101.95 
 375 , 37069.65 
 376 , 37033.1 
 377 , 37000.29 
 378 , 36972.61 
 379 , 36955.85 
 380 , 36960.38 
 381 , 36991.29 
 382 , 37041.97 
 383 , 37093.86 
 384 , 37132.4 
 385 , 37159.11 
 386 , 37179.64 
 387 , 37190.44 
 388 , 37183.46 
 389 , 37160.62 
 390 , 37138.12 
 391 , 37130.23 
 392 , 37134.41 
 393 , 37141.54 
 394 , 37147.8 
 395 , 37157.46 
 396 , 37168.99 
 397 , 37163.87 
 398 , 37126.92 
 399 , 37076.69 
 400 , 37044.08 
 401 , 37033.41 
 402 , 37023.11 
 403 , 37003.09 
 404 , 36995.23 
 405 , 37021.98 
 406 , 37071.32 
 407 , 37115.05 
 408 , 37145.49 
 409 , 37180.04 
 410 , 37229.58 
 411 , 37278.54 
 412 , 37308.27 
 413 , 37325.49 
 414 , 37351.61 
 415 , 37389.94 
 416 , 37415.2 
 417 , 37408.02 
 418 , 37389.25 
 419 , 37389.85 
 420 , 37411.32 
 421 , 37429.1 
 422 , 37429.41 
 423 , 37427.92 
 424 , 37441.94 
 425 , 37469.29 
 426 , 37499.11 
 427 , 37525.53 
 428 , 37549.69 
 429 , 37572.81 
 430 , 37596.84 
 431 , 37624.7 
 432 , 37653.42 
 433 , 37673.38 
 434 , 37680.51 
 435 , 37684.04 
 436 , 37696.5 
 437 , 37722.28 
 438 , 37757.82 
 439 , 37794.5 
 440 , 37830.78 
 441 , 37868.97 
 442 , 37909.32 
 443 , 37949.78 
 444 , 37984.27 
 445 , 38008.15 
 446 , 38031.82 
 447 , 38073.85 
 448 , 38137.59 
 449 , 38202.71 
 450 , 38246.07 
 451 , 38265.63 
 452 , 38277.65 
 453 , 38294.45 
 454 , 38304.21 
 455 , 38300.4 
 456 , 38305.4 
 457 , 38341.98 
 458 , 38402.36 
 459 , 38460.69 
 460 , 38501.88 
 461 , 38530.48 
 462 , 38552.39 
 463 , 38562.14 
 464 , 38556.84 
 465 , 38550.55 
 466 , 38560.36 
 467 , 38586.22 
 468 , 38619.48 
 469 , 38653.44 
 470 , 38683.51 
 471 , 38708.63 
 472 , 38734.13 
 473 , 38766.86 
 474 , 38807.26 
 475 , 38850.39 
 476 , 38890.45 
 477 , 38925.56 
 478 , 38955.77 
 479 , 38978.41 
 480 , 38990.4 
 481 , 38994.69 
 482 , 38993.94 
 483 , 38987.26 
 484 , 38975.58 
 485 , 38967.42 
 486 , 38974.42 
 487 , 38998.46 
 488 , 39031.67 
 489 , 39070.42 
 490 , 39120.82 
 491 , 39191.11 
 492 , 39276.32 
 493 , 39357.02 
 494 , 39415.39 
 495 , 39451.33 
 496 , 39476.19 
 497 , 39505.4 
 498 , 39547.64 
 499 , 39597.59 
 500 , 39647.15 
 501 , 39696.16 
 502 , 39744.59 
 503 , 39786.61 
 504 , 39815.6 
 505 , 39829.51 
 506 , 39835.51 
 507 , 39843.69 
 508 , 39859.64 
 509 , 39887.25 
 510 , 39930.11 
 511 , 39981.32 
 512 , 40028.62 
 513 , 40064.56 
 514 , 40089.7 
 515 , 40112.55 
 516 , 40143.3 
 517 , 40184.43 
 518 , 40229.16 
 519 , 40273.23 
 520 , 40320 
 521 , 40372.3 
 522 , 40424.52 
 523 , 40466.62 
 524 , 40495.56 
 525 , 40524.46 
 526 , 40565.27 
 527 , 40606.51 
 528 , 40626.51 
 529 , 40624.4 
 530 , 40619.47 
 531 , 40624.63 
 532 , 40638.81 
 533 , 40660.52 
 534 , 40694.37 
 535 , 40746.93 
 536 , 40814.22 
 537 , 40880.26 
 538 , 40933.01 
 539 , 40971.56 
 540 , 40997.33 
 541 , 41016.89 
 542 , 41039.5 
 543 , 41070.3 
 544 , 41110.5 
 545 , 41160.64 
 546 , 41218.18 
 547 , 41279.07 
 548 , 41334.84 
 549 , 41376.24 
 550 , 41404.15 
 551 , 41427.35 
 552 , 41447.06 
 553 , 41451.02 
 554 , 41431.59 
 555 , 41408.82 
 556 , 41408.2 
 557 , 41422.02 
 558 , 41419.18 
 559 , 41390.13 
 560 , 41362.11 
 561 , 41356.32 
 562 , 41356.51 
 563 , 41339.52 
 564 , 41313.1 
 565 , 41302.94 
 566 , 41314.79 
 567 , 41327.83 
 568 , 41328.68 
 569 , 41332.91 
 570 , 41358.4 
 571 , 41394.93 
 572 , 41419.06 
 573 , 41425.89 
 574 , 41431.68 
 575 , 41444.57 
 576 , 41445.32 
 577 , 41413.81 
 578 , 41366.09 
 579 , 41336.1 
 580 , 41328.65 
 581 , 41313.1 
 582 , 41270.45 
 583 , 41222.2 
 584 , 41194.45 
 585 , 41183.17 
 586 , 41167.81 
 587 , 41145.11 
 588 , 41136.27 
 589 , 41156.05 
 590 , 41191.59 
 591 , 41223.68 
 592 , 41244.59 
 593 , 41256.69 
 594 , 41264.16 
 595 , 41265.44 
 596 , 41260.46 
 597 , 41258.82 
 598 , 41271.54 
 599 , 41300.59 
 600 , 41342.03 
 601 , 41390.94 
 602 , 41447.21 
 603 , 41510.4 
 604 , 41575.61 
 605 , 41639.19 
 606 , 41699.07 
 607 , 41751.79 
 608 , 41797.75 
 609 , 41842.09 
 610 , 41883.73 
 611 , 41914.66 
 612 , 41932.06 
 613 , 41946.68 
 614 , 41970.07 
 615 , 41999.54 
 616 , 42025.33 
 617 , 42047.7 
 618 , 42073.88 
 619 , 42101.66 
 620 , 42122.61 
 621 , 42134.16 
 622 , 42142.28 
 623 , 42152.05 
 624 , 42161.32 
 625 , 42163.66 
 626 , 42160.29 
 627 , 42164.6 
 628 , 42187.04 
 629 , 42219.88 
 630 , 42249.12 
 631 , 42273.91 
 632 , 42306.16 
 633 , 42350.27 
 634 , 42396.11 
 635 , 42433.16 
 636 , 42459.53 
 637 , 42476.32 
 638 , 42482.59 
 639 , 42477.68 
 640 , 42466.76 
 641 , 42452.56 
 642 , 42439.92 
 643 , 42443.01 
 644 , 42470.34 
 645 , 42512.84 
 646 , 42557.24 
 647 , 42595.66 
 648 , 42625.42 
 649 , 42644.84 
 650 , 42645.52 
 651 , 42624.56 
 652 , 42593.99 
 653 , 42567.14 
 654 , 42544.74 
 655 , 42521.1 
 656 , 42493.79 
 657 , 42467.9 
 658 , 42451.35 
 659 , 42448.16 
 660 , 42457.69 
 661 , 42475.46 
 662 , 42496.53 
 663 , 42518.99 
 664 , 42546.28 
 665 , 42576.61 
 666 , 42597.25 
 667 , 42596.83 
 668 , 42573.88 
 669 , 42534.87 
 670 , 42496.39 
 671 , 42476.69 
 672 , 42483.7 
 673 , 42512.28 
 674 , 42555.16 
 675 , 42616.4 
 676 , 42699.74 
 677 , 42787.74 
 678 , 42851.29 
 679 , 42875.32 
 680 , 42866.89 
 681 , 42851.49 
 682 , 42850.48 
 683 , 42865.54 
 684 , 42882.53 
 685 , 42893.83 
 686 , 42911.05 
 687 , 42948.75 
 688 , 42999.35 
 689 , 43042.27 
 690 , 43067.22 
 691 , 43078.64 
 692 , 43083.91 
 693 , 43082.93 
 694 , 43071.22 
 695 , 43050.48 
 696 , 43029.69 
 697 , 43018.07 
 698 , 43021.67 
 699 , 43039.45 
 700 , 43064.46 
 701 , 43088.76 
 702 , 43103.54 
 703 , 43101.73 
 704 , 43085.78 
 705 , 43063.9 
 706 , 43039.73 
 707 , 43009.79 
 708 , 42971.03 
 709 , 42925.41 
 710 , 42877.22 
 711 , 42829.96 
 712 , 42784.64 
 713 , 42741.84 
 714 , 42704.61 
 715 , 42677.49 
 716 , 42662.99 
 717 , 42660.24 
 718 , 42668.26 
 719 , 42686.43 
 720 , 42709.73 
 721 , 42733.75 
 722 , 42763.19 
 723 , 42801.31 
 724 , 42839.1 
 725 , 42869 
 726 , 42899.14 
 727 , 42942.76 
 728 , 42995.07 
 729 , 43037.34 
 730 , 43068.74 
 731 , 43102.78 
 732 , 43134.27 
 733 , 43149.18 
 734 , 43153.5 
 735 , 43165.35 
 736 , 43192.27 
 737 , 43228.3 
 738 , 43264.63 
 739 , 43297.28 
 740 , 43326.79 
 741 , 43353.59 
