10-03-2023,11:14:06
Wavenumber(cm-1),Intensity
 250 , 5308.87 
 251 , 5308.87 
 252 , 5250.37 
 253 , 5191.4 
 254 , 5137.09 
 255 , 5092.9 
 256 , 5058.31 
 257 , 5028.81 
 258 , 5000.67 
 259 , 4970.49 
 260 , 4935.25 
 261 , 4897.84 
 262 , 4865.3 
 263 , 4841.48 
 264 , 4823.6 
 265 , 4808.67 
 266 , 4796.92 
 267 , 4789.95 
 268 , 4786.76 
 269 , 4783 
 270 , 4775.59 
 271 , 4763.7 
 272 , 4746.2 
 273 , 4721.81 
 274 , 4694.35 
 275 , 4669.45 
 276 , 4648.75 
 277 , 4630.42 
 278 , 4612.95 
 279 , 4597.86 
 280 , 4586.82 
 281 , 4578.33 
 282 , 4569.38 
 283 , 4559.04 
 284 , 4549.67 
 285 , 4543.4 
 286 , 4540.28 
 287 , 4538.99 
 288 , 4537.08 
 289 , 4531.42 
 290 , 4520.76 
 291 , 4506.44 
 292 , 4489.55 
 293 , 4469.85 
 294 , 4447.78 
 295 , 4426.48 
 296 , 4409.95 
 297 , 4399.4 
 298 , 4392.66 
 299 , 4387.05 
 300 , 4383.14 
 301 , 4382.83 
 302 , 4386.09 
 303 , 4390.66 
 304 , 4394.15 
 305 , 4396.15 
 306 , 4397.84 
 307 , 4399.34 
 308 , 4399.32 
 309 , 4396.29 
 310 , 4390.59 
 311 , 4386.27 
 312 , 4387.74 
 313 , 4394.71 
 314 , 4403.1 
 315 , 4410.36 
 316 , 4418.02 
 317 , 4427.11 
 318 , 4434.96 
 319 , 4437 
 320 , 4432.16 
 321 , 4426.75 
 322 , 4426.75 
 323 , 4431.12 
 324 , 4436.07 
 325 , 4440.11 
 326 , 4443.88 
 327 , 4446.48 
 328 , 4445.41 
 329 , 4439.08 
 330 , 4428.45 
 331 , 4417.06 
 332 , 4407.58 
 333 , 4399.37 
 334 , 4390.94 
 335 , 4382.58 
 336 , 4376.44 
 337 , 4373.95 
 338 , 4373.27 
 339 , 4371.51 
 340 , 4365.26 
 341 , 4351.24 
 342 , 4328.93 
 343 , 4305.62 
 344 , 4288.95 
 345 , 4278.76 
 346 , 4270.03 
 347 , 4261.15 
 348 , 4257.85 
 349 , 4265.17 
 350 , 4277.72 
 351 , 4285.86 
 352 , 4286.25 
 353 , 4284.86 
 354 , 4286.63 
 355 , 4290.31 
 356 , 4293.72 
 357 , 4294.83 
 358 , 4289.28 
 359 , 4272.91 
 360 , 4249.47 
 361 , 4226.8 
 362 , 4209.34 
 363 , 4195.7 
 364 , 4183.97 
 365 , 4174.56 
 366 , 4169.4 
 367 , 4168.99 
 368 , 4171.14 
 369 , 4173.1 
 370 , 4172.99 
 371 , 4170.03 
 372 , 4166.87 
 373 , 4167.57 
 374 , 4172.73 
 375 , 4177.23 
 376 , 4176.63 
 377 , 4174.05 
 378 , 4175.38 
 379 , 4181.78 
 380 , 4188.53 
 381 , 4192.39 
 382 , 4197.87 
 383 , 4211.21 
 384 , 4231.27 
 385 , 4250.16 
 386 , 4262.31 
 387 , 4269.64 
 388 , 4275.15 
 389 , 4278.93 
 390 , 4279.25 
 391 , 4276.51 
 392 , 4275.5 
 393 , 4280.77 
 394 , 4291.39 
 395 , 4304.1 
 396 , 4316.37 
 397 , 4326.74 
 398 , 4334.4 
 399 , 4340.57 
 400 , 4346.81 
 401 , 4353.51 
 402 , 4360.48 
 403 , 4367.68 
 404 , 4374.7 
 405 , 4380.69 
 406 , 4383.84 
 407 , 4382.2 
 408 , 4376.16 
 409 , 4369.29 
 410 , 4364.42 
 411 , 4360.16 
 412 , 4354.12 
 413 , 4347.07 
 414 , 4342.41 
 415 , 4341.17 
 416 , 4338.09 
 417 , 4327.79 
 418 , 4312.78 
 419 , 4299.72 
 420 , 4290.76 
 421 , 4281.74 
 422 , 4269.37 
 423 , 4255.52 
 424 , 4243.25 
 425 , 4233.23 
 426 , 4224.39 
 427 , 4216.18 
 428 , 4209.05 
 429 , 4203.64 
 430 , 4200.47 
 431 , 4199.72 
 432 , 4200.39 
 433 , 4200.62 
 434 , 4199.38 
 435 , 4198.35 
 436 , 4199.82 
 437 , 4203.56 
 438 , 4207.13 
 439 , 4209.26 
 440 , 4211.56 
 441 , 4216.02 
 442 , 4221.8 
 443 , 4225.8 
 444 , 4226.5 
 445 , 4228.04 
 446 , 4235.41 
 447 , 4247.53 
 448 , 4258.95 
 449 , 4265.62 
 450 , 4268.56 
 451 , 4270.9 
 452 , 4274.17 
 453 , 4277.51 
 454 , 4278.01 
 455 , 4273.66 
 456 , 4265.46 
 457 , 4255.73 
 458 , 4245.07 
 459 , 4232.13 
 460 , 4216.17 
 461 , 4198.4 
 462 , 4180.25 
 463 , 4162.1 
 464 , 4144.6 
 465 , 4129.06 
 466 , 4115.98 
 467 , 4104.42 
 468 , 4093.25 
 469 , 4082.5 
 470 , 4072.39 
 471 , 4063.19 
 472 , 4055.35 
 473 , 4049.48 
 474 , 4046.02 
 475 , 4045.14 
 476 , 4047.72 
 477 , 4055.14 
 478 , 4066.84 
 479 , 4080.23 
 480 , 4093.08 
 481 , 4104.51 
 482 , 4113.7 
 483 , 4119.44 
 484 , 4120.81 
 485 , 4118.97 
 486 , 4117.01 
 487 , 4116.86 
 488 , 4118.24 
 489 , 4120.77 
 490 , 4122.85 
 491 , 4121.69 
 492 , 4114.68 
 493 , 4099.72 
 494 , 4075.56 
 495 , 4048.2 
 496 , 4026.77 
 497 , 4014.44 
 498 , 4007.24 
 499 , 4001.81 
 500 , 4000.15 
 501 , 4005.14 
 502 , 4011.64 
 503 , 4009.86 
