09-26-2023,10:48:17
Wavenumber(cm-1),Intensity
 250 , 4611.99 
 251 , 4611.99 
 252 , 4574.61 
 253 , 4541.03 
 254 , 4511.81 
 255 , 4487.13 
 256 , 4466.44 
 257 , 4449.16 
 258 , 4435.23 
 259 , 4424.89 
 260 , 4416.44 
 261 , 4405.52 
 262 , 4388.66 
 263 , 4368.91 
 264 , 4351.65 
 265 , 4338.53 
 266 , 4325.8 
 267 , 4309.97 
 268 , 4292.45 
 269 , 4276.65 
 270 , 4264.21 
 271 , 4253.54 
 272 , 4242.8 
 273 , 4231.94 
 274 , 4222.01 
 275 , 4212.82 
 276 , 4201.48 
 277 , 4185.47 
 278 , 4167.32 
 279 , 4151.54 
 280 , 4139.24 
 281 , 4126.64 
 282 , 4110.92 
 283 , 4096 
 284 , 4088 
 285 , 4088.25 
 286 , 4091.93 
 287 , 4094.14 
 288 , 4093.91 
 289 , 4092.03 
 290 , 4090.1 
 291 , 4089.19 
 292 , 4089.15 
 293 , 4088.35 
 294 , 4085.74 
 295 , 4083.32 
 296 , 4084.11 
 297 , 4088.15 
 298 , 4091.73 
 299 , 4091.85 
 300 , 4089.81 
 301 , 4088.63 
 302 , 4088.77 
 303 , 4087.53 
 304 , 4082.66 
 305 , 4075.6 
 306 , 4069.87 
 307 , 4067 
 308 , 4065.2 
 309 , 4062.74 
 310 , 4060.21 
 311 , 4059.62 
 312 , 4062.12 
 313 , 4066.51 
 314 , 4071.33 
 315 , 4074.99 
 316 , 4075.29 
 317 , 4070.52 
 318 , 4063.26 
 319 , 4057.36 
 320 , 4052.7 
 321 , 4045.58 
 322 , 4033.96 
 323 , 4022.55 
 324 , 4017.96 
 325 , 4020.88 
 326 , 4026.66 
 327 , 4031.2 
 328 , 4035.56 
 329 , 4042.74 
 330 , 4052.31 
 331 , 4061.11 
 332 , 4066.91 
 333 , 4070.42 
 334 , 4072.88 
 335 , 4074.07 
 336 , 4072.76 
 337 , 4068.87 
 338 , 4064.26 
 339 , 4060.56 
 340 , 4057.59 
 341 , 4055.23 
 342 , 4053.9 
 343 , 4053.5 
 344 , 4052.84 
 345 , 4050.45 
 346 , 4046.17 
 347 , 4041.04 
 348 , 4035.71 
 349 , 4029.98 
 350 , 4025.07 
 351 , 4024.59 
 352 , 4029.63 
 353 , 4036.18 
 354 , 4039.71 
 355 , 4040.09 
 356 , 4040.05 
 357 , 4041.03 
 358 , 4040.69 
 359 , 4036.51 
 360 , 4030.05 
 361 , 4025.38 
 362 , 4024.21 
 363 , 4024.26 
 364 , 4022.6 
 365 , 4018.61 
 366 , 4013.7 
 367 , 4010.28 
 368 , 4008.92 
 369 , 4009.36 
 370 , 4012.81 
 371 , 4020.49 
 372 , 4028.59 
 373 , 4031.12 
 374 , 4027.65 
 375 , 4024.29 
 376 , 4025.38 
 377 , 4027.02 
 378 , 4023.68 
 379 , 4018.4 
 380 , 4021.26 
 381 , 4037.58 
 382 , 4059.95 
 383 , 4079.69 
 384 , 4096.74 
 385 , 4116 
 386 , 4138.78 
 387 , 4159.54 
 388 , 4172.59 
 389 , 4176.64 
 390 , 4172.35 
 391 , 4161.44 
 392 , 4146.79 
 393 , 4130.8 
 394 , 4113.67 
 395 , 4095.1 
 396 , 4077.25 
 397 , 4064.47 
 398 , 4059.36 
 399 , 4059.16 
 400 , 4060.46 
 401 , 4062.87 
 402 , 4067.95 
 403 , 4076.24 
 404 , 4086 
 405 , 4095.04 
 406 , 4100.31 
 407 , 4098.61 
 408 , 4090.39 
 409 , 4080.61 
 410 , 4073.27 
 411 , 4067.43 
 412 , 4061.12 
 413 , 4054.91 
