10-03-2023,10:41:48
Wavenumber(cm-1),Intensity
 250 , 4429.9 
 251 , 4429.9 
 252 , 4405.82 
 253 , 4379.3 
 254 , 4354.61 
 255 , 4336.58 
 256 , 4324.4 
 257 , 4313.43 
 258 , 4301.06 
 259 , 4289.15 
 260 , 4280.09 
 261 , 4273.52 
 262 , 4266.91 
 263 , 4257.93 
 264 , 4247.34 
 265 , 4236.97 
 266 , 4227.32 
 267 , 4217.09 
 268 , 4204.28 
 269 , 4188.15 
 270 , 4169.88 
 271 , 4153.37 
 272 , 4142.75 
 273 , 4138.56 
 274 , 4137.37 
 275 , 4136.64 
 276 , 4137.01 
 277 , 4140.17 
 278 , 4145.6 
 279 , 4149.6 
 280 , 4148.53 
 281 , 4142.54 
 282 , 4134.21 
 283 , 4125.99 
 284 , 4119.2 
 285 , 4114.56 
 286 , 4112.31 
 287 , 4112.06 
 288 , 4112.37 
 289 , 4111.13 
 290 , 4107.86 
 291 , 4104.9 
 292 , 4104.43 
 293 , 4105.02 
 294 , 4101.9 
 295 , 4093.39 
 296 , 4084.31 
 297 , 4079.1 
 298 , 4076.61 
 299 , 4071.85 
 300 , 4063.63 
 301 , 4057.71 
 302 , 4059.82 
 303 , 4069.53 
 304 , 4081.31 
 305 , 4091.47 
 306 , 4099.36 
 307 , 4103.88 
 308 , 4104.78 
 309 , 4104.01 
 310 , 4103.97 
 311 , 4105.75 
 312 , 4109.85 
 313 , 4116.07 
 314 , 4123.96 
 315 , 4132.94 
 316 , 4141.03 
 317 , 4145.28 
 318 , 4144.91 
 319 , 4141.48 
 320 , 4136.76 
 321 , 4131.29 
 322 , 4124.94 
 323 , 4119.35 
 324 , 4118.54 
 325 , 4124.49 
 326 , 4132.69 
 327 , 4137.13 
 328 , 4137.92 
 329 , 4139.62 
 330 , 4143.56 
 331 , 4144.45 
 332 , 4137 
 333 , 4122.87 
 334 , 4106.63 
 335 , 4091.21 
 336 , 4077.03 
 337 , 4064.58 
 338 , 4055.91 
 339 , 4053.43 
