02-27-2024,16:12:41
Wavenumber(cm-1),Intensity
 250 , 3177.69 
 251 , 3177.69 
 252 , 3167.59 
 253 , 3159.1 
 254 , 3148.35 
 255 , 3131.78 
 256 , 3111.97 
 257 , 3094.54 
 258 , 3080.96 
 259 , 3066.46 
 260 , 3047.92 
 261 , 3031.16 
 262 , 3023.78 
 263 , 3024.32 
 264 , 3024.19 
 265 , 3018.35 
 266 , 3010.21 
 267 , 3003.71 
 268 , 2998.23 
 269 , 2991.17 
 270 , 2982.58 
 271 , 2975.78 
 272 , 2973 
 273 , 2971.4 
 274 , 2967.08 
 275 , 2960.41 
 276 , 2955.18 
 277 , 2953.63 
 278 , 2954.07 
 279 , 2954.49 
 280 , 2954.9 
 281 , 2956.27 
 282 , 2958.82 
 283 , 2961.7 
 284 , 2963.89 
 285 , 2963.62 
 286 , 2959.07 
 287 , 2951.34 
 288 , 2943.69 
 289 , 2937.74 
 290 , 2931.83 
 291 , 2924.41 
 292 , 2916.26 
 293 , 2908.74 
 294 , 2901.51 
 295 , 2893.15 
 296 , 2883.48 
 297 , 2874.92 
 298 , 2869.4 
 299 , 2866.92 
 300 , 2867.44 
 301 , 2871.05 
 302 , 2876.32 
 303 , 2880.96 
 304 , 2882.68 
 305 , 2880.14 
 306 , 2875.06 
 307 , 2871.76 
 308 , 2872.99 
 309 , 2876.83 
 310 , 2880.95 
 311 , 2884.2 
 312 , 2886.12 
 313 , 2886.56 
 314 , 2886.31 
 315 , 2886.47 
 316 , 2888.75 
 317 , 2894.4 
 318 , 2903.36 
 319 , 2914.76 
 320 , 2927.14 
 321 , 2936.23 
 322 , 2937.31 
 323 , 2931.14 
 324 , 2922.57 
 325 , 2915.55 
 326 , 2911.03 
 327 , 2908.34 
 328 , 2905.46 
 329 , 2901.24 
 330 , 2896.91 
 331 , 2895.05 
 332 , 2896.58 
 333 , 2899.25 
 334 , 2900.67 
 335 , 2898.85 
 336 , 2891.84 
 337 , 2880.66 
 338 , 2870.38 
 339 , 2864.59 
 340 , 2860.56 
 341 , 2854.9 
 342 , 2849.18 
 343 , 2847.72 
 344 , 2850.49 
 345 , 2850.48 
 346 , 2842.57 
 347 , 2831.75 
 348 , 2825.5 
 349 , 2825.7 
 350 , 2829.9 
 351 , 2836.89 
 352 , 2844.71 
 353 , 2849.62 
 354 , 2851.3 
 355 , 2853.09 
 356 , 2858.54 
 357 , 2868.48 
 358 , 2880.87 
 359 , 2891.31 
 360 , 2896.98 
 361 , 2898.14 
 362 , 2895.24 
 363 , 2887.34 
 364 , 2875.58 
 365 , 2863.5 
 366 , 2855.49 
 367 , 2854.38 
 368 , 2858.73 
 369 , 2864.8 
 370 , 2870.64 
 371 , 2874.49 
 372 , 2873.96 
 373 , 2869.64 
 374 , 2864.59 
 375 , 2861.31 
 376 , 2860.04 
 377 , 2860.21 
 378 , 2861.31 
 379 , 2863.35 
 380 , 2866.86 
 381 , 2872.19 
 382 , 2878.2 
 383 , 2881.7 
 384 , 2880.77 
 385 , 2881.65 
 386 , 2893.17 
 387 , 2914.14 
