09-20-2023,11:46:37
Wavenumber(cm-1),Intensity
 250 , 3176.53 
 251 , 3176.53 
 252 , 3115.15 
 253 , 3055.4 
 254 , 3001.02 
 255 , 2957.23 
 256 , 2925.31 
 257 , 2898.35 
 258 , 2869.48 
 259 , 2837.87 
 260 , 2805.62 
 261 , 2773.39 
 262 , 2739.33 
 263 , 2701.62 
 264 , 2662.98 
 265 , 2628.06 
 266 , 2596.91 
 267 , 2563.54 
 268 , 2523.53 
 269 , 2482.58 
 270 , 2449.17 
 271 , 2424.24 
 272 , 2401.67 
 273 , 2377.14 
 274 , 2354.37 
 275 , 2338.21 
 276 , 2326.39 
 277 , 2312.25 
 278 , 2291.99 
 279 , 2267.55 
 280 , 2241.54 
 281 , 2216.92 
 282 , 2196.77 
 283 , 2181.97 
 284 , 2170.52 
 285 , 2160.61 
 286 , 2152.64 
 287 , 2147.27 
 288 , 2143.41 
 289 , 2138.98 
 290 , 2133.21 
 291 , 2127.02 
 292 , 2120.92 
 293 , 2114.6 
 294 , 2107.97 
 295 , 2101.89 
 296 , 2096.95 
 297 , 2092.42 
 298 , 2087.22 
 299 , 2081.12 
 300 , 2075.05 
 301 , 2069.68 
 302 , 2064.61 
 303 , 2059.13 
 304 , 2053.08 
 305 , 2047.04 
 306 , 2041.52 
 307 , 2036.09 
 308 , 2029.55 
 309 , 2021.1 
 310 , 2011.34 
 311 , 2001.32 
 312 , 1991.79 
 313 , 1983.18 
 314 , 1976 
 315 , 1970.58 
 316 , 1967.01 
 317 , 1964.75 
 318 , 1963.05 
 319 , 1961.66 
 320 , 1960.88 
 321 , 1960.97 
 322 , 1962.52 
 323 , 1966.58 
 324 , 1973.18 
 325 , 1979.7 
 326 , 1983.23 
 327 , 1983.27 
 328 , 1980.58 
 329 , 1975.26 
 330 , 1966.12 
 331 , 1952.84 
 332 , 1939.13 
 333 , 1929.26 
 334 , 1923.78 
 335 , 1920.63 
 336 , 1918.44 
 337 , 1917.4 
 338 , 1917.68 
 339 , 1918.26 
 340 , 1917.77 
 341 , 1916.44 
 342 , 1916.12 
 343 , 1917.65 
 344 , 1919 
 345 , 1917.91 
 346 , 1915.21 
 347 , 1913.57 
 348 , 1913.55 
 349 , 1912.11 
 350 , 1907.02 
 351 , 1901.84 
 352 , 1901.93 
 353 , 1907.52 
 354 , 1913.59 
 355 , 1916.62 
 356 , 1918.14 
 357 , 1920.27 
 358 , 1922.63 
 359 , 1923.78 
 360 , 1923.34 
 361 , 1921.56 
 362 , 1918.54 
 363 , 1916.05 
 364 , 1917.11 
 365 , 1921.87 
 366 , 1925.92 
 367 , 1925.42 
 368 , 1921.9 
 369 , 1918.45 
 370 , 1915.76 
 371 , 1912.21 
 372 , 1907.04 
 373 , 1902.25 
 374 , 1900.08 
 375 , 1900.9 
 376 , 1904.12 
 377 , 1907.9 
 378 , 1909.2 
 379 , 1906.62 
 380 , 1904.44 
 381 , 1907.61 
 382 , 1914.13 
 383 , 1917.38 
 384 , 1914.69 
 385 , 1911.08 
 386 , 1911.24 
 387 , 1912.45 
 388 , 1909.53 
 389 , 1903 
 390 , 1899.53 
 391 , 1903.34 
 392 , 1910.25 
 393 , 1914.99 
 394 , 1918.34 
 395 , 1924.72 
 396 , 1935.8 
 397 , 1948.49 
 398 , 1959.84 
 399 , 1969.31 
 400 , 1976.95 
 401 , 1980.79 
 402 , 1977.15 
 403 , 1964.57 
 404 , 1947.19 
 405 , 1929.79 
 406 , 1916.23 
 407 , 1909.96 
 408 , 1911.47 
 409 , 1916.9 
 410 , 1922.82 
 411 , 1929.2 
 412 , 1936.72 
 413 , 1942.93 
 414 , 1942.89 
 415 , 1935.33 
 416 , 1926.86 
 417 , 1923.96 
 418 , 1924.97 
 419 , 1925.03 
 420 , 1922.43 
 421 , 1919.19 
 422 , 1916.9 
 423 , 1915.02 
 424 , 1912.68 
 425 , 1910.23 
 426 , 1908.84 
 427 , 1908.57 
 428 , 1907.79 
 429 , 1905.2 
 430 , 1901.5 
 431 , 1897.93 
 432 , 1894.8 
 433 , 1891.75 
 434 , 1889.4 
 435 , 1890.6 
 436 , 1897.63 
 437 , 1907.03 
 438 , 1913.21 
 439 , 1915.54 
 440 , 1918.93 
 441 , 1925.91 
 442 , 1930.78 
 443 , 1927.23 
 444 , 1918.28 
 445 , 1912.07 
 446 , 1910.72 
 447 , 1907.3 
 448 , 1896.94 
 449 , 1886.8 
 450 , 1886.55 
 451 , 1895.36 
 452 , 1904.66 
 453 , 1908.87 
 454 , 1908.53 
 455 , 1904.9 
 456 , 1899.31 
 457 , 1893.17 
 458 , 1886.55 
 459 , 1878.07 
 460 , 1867.63 
 461 , 1858.83 
 462 , 1855.24 
 463 , 1855.35 
 464 , 1855.22 
 465 , 1853.05 
 466 , 1849.79 
 467 , 1846.69 
 468 , 1845.32 
 469 , 1846.99 
 470 , 1849.4 
 471 , 1848.16 
 472 , 1842.45 
 473 , 1837.19 
 474 , 1836.36 
 475 , 1837.43 
 476 , 1836.39 
 477 , 1833.49 
 478 , 1832.23 
 479 , 1834.85 
 480 , 1840.95 
 481 , 1849.7 
 482 , 1859.41 
 483 , 1868.19 
 484 , 1876.09 
 485 , 1885.03 
 486 , 1894.69 
 487 , 1899.25 
 488 , 1893.46 
 489 , 1881.82 
 490 , 1872.72 
 491 , 1867.97 
 492 , 1862.15 
 493 , 1852.26 
 494 , 1843.06 
 495 , 1839.81 
 496 , 1840.74 
 497 , 1840.82 
 498 , 1837.95 
 499 , 1833.63 
 500 , 1829.15 
 501 , 1824.58 
 502 , 1819.78 
 503 , 1814.13 
 504 , 1806.65 
 505 , 1797.78 
 506 , 1790.09 
 507 , 1785.36 
 508 , 1781.49 
 509 , 1775.67 
 510 , 1767.73 
 511 , 1759.26 
 512 , 1751.48 
 513 , 1744.93 
 514 , 1739.98 
 515 , 1737.02 
 516 , 1736.47 
 517 , 1738.81 
 518 , 1744.32 
 519 , 1751.85 
 520 , 1757.97 
 521 , 1759.85 
 522 , 1758.49 
 523 , 1755.77 
 524 , 1752.09 
 525 , 1746.8 
 526 , 1740.16 
 527 , 1734.07 
 528 , 1729.92 
 529 , 1726.02 
 530 , 1720.02 
 531 , 1712.07 
 532 , 1704.22 
 533 , 1697.89 
 534 , 1693.24 
 535 , 1690.44 
 536 , 1690.56 
 537 , 1694.83 
 538 , 1702.82 
 539 , 1712.74 
 540 , 1722.24 
 541 , 1727.87 
