09-29-2023,10:51:04
Wavenumber(cm-1),Intensity
 250 , 9567.11 
 251 , 9567.11 
 252 , 9561.78 
 253 , 9554.37 
 254 , 9547.7 
 255 , 9544.47 
 256 , 9543.4 
 257 , 9541.2 
 258 , 9536.25 
 259 , 9527.68 
 260 , 9514.81 
 261 , 9500.02 
 262 , 9487.6 
 263 , 9478.39 
 264 , 9468.37 
 265 , 9454.48 
 266 , 9438.73 
 267 , 9424.86 
 268 , 9413.05 
 269 , 9400.86 
 270 , 9388.86 
 271 , 9380.15 
 272 , 9376.01 
 273 , 9373.38 
 274 , 9369.46 
 275 , 9364.38 
 276 , 9359.4 
 277 , 9354.44 
 278 , 9349.12 
 279 , 9346.69 
 280 , 9350.51 
 281 , 9358.57 
 282 , 9366.31 
 283 , 9372.45 
 284 , 9380.2 
 285 , 9391.97 
 286 , 9405.21 
 287 , 9414.25 
 288 , 9415.06 
 289 , 9409.66 
 290 , 9403.42 
 291 , 9398.28 
 292 , 9391.57 
 293 , 9380.23 
 294 , 9366.24 
 295 , 9357.01 
 296 , 9357.43 
 297 , 9365 
 298 , 9373.54 
 299 , 9380.9 
 300 , 9391.25 
 301 , 9406.33 
 302 , 9422.03 
 303 , 9433.42 
 304 , 9440 
 305 , 9444.94 
 306 , 9450.67 
 307 , 9456.2 
 308 , 9459.02 
 309 , 9457.82 
 310 , 9454.06 
 311 , 9452.91 
 312 , 9459.55 
 313 , 9474.83 
 314 , 9496.48 
 315 , 9522.51 
 316 , 9549.76 
 317 , 9572.95 
 318 , 9588.73 
 319 , 9596.98 
 320 , 9598.59 
 321 , 9593.43 
 322 , 9580.17 
 323 , 9563.73 
 324 , 9555.84 
 325 , 9563.48 
 326 , 9578.6 
 327 , 9589.15 
 328 , 9592.83 
 329 , 9595.64 
 330 , 9600.04 
 331 , 9599.61 
 332 , 9588.47 
 333 , 9576.48 
 334 , 9579.86 
 335 , 9602 
 336 , 9628.92 
 337 , 9648.57 
 338 , 9664.78 
 339 , 9685.27 
 340 , 9706.43 
 341 , 9714.64 
 342 , 9702.83 
 343 , 9684.47 
 344 , 9674.7 
 345 , 9674.34 
 346 , 9675.89 
 347 , 9676.1 
 348 , 9678.99 
 349 , 9687.02 
 350 , 9695.66 
 351 , 9700.54 
 352 , 9702.28 
 353 , 9704.29 
 354 , 9706.86 
 355 , 9706.49 
 356 , 9702.15 
 357 , 9696.61 
 358 , 9692.35 
 359 , 9689.43 
 360 , 9688.1 
 361 , 9692.43 
 362 , 9704.46 
 363 , 9719.02 
 364 , 9730.13 
 365 , 9738.08 
 366 , 9746.99 
 367 , 9757.21 
 368 , 9762.39 
 369 , 9758.62 
 370 , 9753.83 
 371 , 9758.19 
 372 , 9771.69 
 373 , 9787.11 
 374 , 9799.9 
 375 , 9812.03 
 376 , 9825.84 
 377 , 9838.79 
 378 , 9845.84 
 379 , 9845.26 
 380 , 9840.32 
 381 , 9834.58 
 382 , 9830.5 
 383 , 9830.1 
 384 , 9835.79 
 385 , 9850.53 
 386 , 9875.37 
 387 , 9905.2 
 388 , 9934.03 
 389 , 9959.17 
 390 , 9980.06 
 391 , 9995.58 
 392 , 10003.46 
 393 , 10002.17 
 394 , 9996.36 
 395 , 9993.23 
 396 , 9994.79 
 397 , 9996.09 
 398 , 9993.7 
 399 , 9991.61 
 400 , 9995.11 
 401 , 10003.33 
 402 , 10010.79 
 403 , 10014.9 
 404 , 10019.5 
 405 , 10028.19 
 406 , 10037.22 
 407 , 10039.52 
 408 , 10033.93 
 409 , 10027.84 
 410 , 10026.79 
 411 , 10024.95 
 412 , 10013.61 
 413 , 9995.4 
 414 , 9983.62 
 415 , 9984.87 
 416 , 9985.75 
 417 , 9971.39 
 418 , 9948.55 
 419 , 9936.3 
 420 , 9940.33 
 421 , 9944.88 
 422 , 9936.08 
 423 , 9919.04 
 424 , 9905.14 
 425 , 9897.3 
 426 , 9890.24 
 427 , 9880.35 
 428 , 9869.93 
 429 , 9862.66 
 430 , 9860.74 
 431 , 9864.4 
 432 , 9871.8 
 433 , 9880.92 
 434 , 9891.41 
 435 , 9903.78 
 436 , 9916.99 
 437 , 9928.05 
 438 , 9935.51 
 439 , 9940.27 
 440 , 9944.91 
 441 , 9951.34 
 442 , 9959.85 
 443 , 9970.26 
 444 , 9982.42 
 445 , 9997.67 
 446 , 10018.16 
 447 , 10041.51 
 448 , 10060.89 
 449 , 10069.48 
 450 , 10066.7 
 451 , 10057.41 
 452 , 10048.49 
 453 , 10043.22 
 454 , 10041.41 
 455 , 10046.45 
 456 , 10063.81 
 457 , 10087.22 
 458 , 10104.77 
 459 , 10111.08 
 460 , 10108.61 
 461 , 10100.81 
 462 , 10085.31 
 463 , 10058.88 
 464 , 10030.34 
 465 , 10013.52 
 466 , 10012.53 
 467 , 10020.37 
 468 , 10030.28 
 469 , 10040.55 
 470 , 10050.43 
 471 , 10059.21 
 472 , 10066.68 
 473 , 10073.44 
 474 , 10080.22 
 475 , 10087.01 
 476 , 10094.95 
 477 , 10106.39 
 478 , 10121.43 
 479 , 10137.37 
 480 , 10151.69 
 481 , 10163.64 
 482 , 10172.48 
 483 , 10177.9 
 484 , 10180.67 
 485 , 10183.22 
 486 , 10188.39 
 487 , 10196.76 
 488 , 10206.9 
 489 , 10218.29 
 490 , 10230.66 
 491 , 10243.21 
 492 , 10254.55 
 493 , 10262.62 
 494 , 10264.28 
 495 , 10257.36 
 496 , 10242.45 
 497 , 10225.23 
 498 , 10213.21 
 499 , 10208.84 
 500 , 10208.35 
 501 , 10209.78 
 502 , 10216.03 
 503 , 10230.41 
 504 , 10247.8 
 505 , 10254.09 
 506 , 10241.21 
 507 , 10221.17 
 508 , 10208.78 
 509 , 10205.4 
 510 , 10203.73 
 511 , 10202.09 
 512 , 10208.29 
 513 , 10227.4 
 514 , 10249.62 
 515 , 10262.78 
 516 , 10266.14 
 517 , 10266.89 
 518 , 10267.98 
 519 , 10267.29 
 520 , 10264.74 
 521 , 10263.88 
 522 , 10267.54 
 523 , 10273.58 
 524 , 10276.3 
 525 , 10273.39 
 526 , 10268.63 
 527 , 10264.67 
 528 , 10260.71 
 529 , 10256.97 
 530 , 10257.32 
 531 , 10267.13 
 532 , 10287.4 
 533 , 10308.68 
 534 , 10320.3 
 535 , 10322.47 
 536 , 10323.11 
 537 , 10325.92 
 538 , 10326.68 
 539 , 10322.33 
 540 , 10318.63 
 541 , 10323.46 
 542 , 10337.76 
 543 , 10355.87 
 544 , 10372.98 
 545 , 10388.13 
 546 , 10401.76 
 547 , 10414.08 
 548 , 10424.4 
 549 , 10431.91 
 550 , 10437.08 
 551 , 10441.67 
 552 , 10446.93 
 553 , 10451.2 
 554 , 10451.57 
 555 , 10448.94 
 556 , 10446.04 
 557 , 10442.29 
 558 , 10434.44 
 559 , 10422.82 
 560 , 10412.27 
 561 , 10405.75 
 562 , 10401.95 
 563 , 10399.23 
 564 , 10398.2 
 565 , 10400.15 
 566 , 10404.98 
 567 , 10411.83 
 568 , 10421.01 
 569 , 10434.27 
 570 , 10449.35 
 571 , 10456.4 
 572 , 10448.07 
 573 , 10433.68 
 574 , 10427.07 
 575 , 10428.6 
 576 , 10426.53 
 577 , 10415.22 
 578 , 10405.56 
 579 , 10409.18 
 580 , 10416.94 
 581 , 10409.67 
 582 , 10384.1 
 583 , 10354.94 
 584 , 10334.65 
 585 , 10322.64 
 586 , 10313.27 
 587 , 10302.86 
 588 , 10293.55 
 589 , 10291.3 
 590 , 10299.21 
 591 , 10313.53 
 592 , 10324.5 
 593 , 10327.03 
 594 , 10329.04 
 595 , 10339.52 
 596 , 10356.87 
 597 , 10373.88 
 598 , 10388.62 
 599 , 10406.05 
 600 , 10428.34 
 601 , 10447.45 
 602 , 10454.48 
 603 , 10450.92 
 604 , 10444.76 
 605 , 10439.49 
 606 , 10430.2 
 607 , 10413.5 
 608 , 10399.38 
 609 , 10401.42 
 610 , 10417.59 
 611 , 10434.2 
 612 , 10445.46 
 613 , 10460.38 
 614 , 10487 
 615 , 10519.63 
 616 , 10548.34 
 617 , 10570.08 
 618 , 10586.92 
 619 , 10600.11 
 620 , 10610.1 
 621 , 10616.94 
 622 , 10618.16 
 623 , 10611.04 
 624 , 10597.99 
 625 , 10583.9 
 626 , 10571.38 
 627 , 10561.24 
 628 , 10555.05 
 629 , 10554.3 
 630 , 10559.1 
 631 , 10568.09 
 632 , 10581 
 633 , 10597.15 
 634 , 10613.57 
 635 , 10627.38 
 636 , 10638.47 
 637 , 10647.71 
 638 , 10655.56 
 639 , 10662.19 
 640 , 10667.25 
 641 , 10669.26 
 642 , 10667.24 
 643 , 10662.93 
 644 , 10659.3 
 645 , 10661.71 
 646 , 10675.37 
 647 , 10696.2 
 648 , 10712.79 
 649 , 10719.46 
 650 , 10720.84 
 651 , 10720.36 
 652 , 10712.42 
 653 , 10690.29 
 654 , 10659.55 
 655 , 10633.56 
 656 , 10617.4 
 657 , 10603.98 
 658 , 10587.93 
 659 , 10572.75 
 660 , 10562.99 
 661 , 10556.63 
 662 , 10548.2 
 663 , 10537.21 
 664 , 10529.63 
 665 , 10529.43 
 666 , 10533.46 
 667 , 10537.88 
 668 , 10544.17 
 669 , 10555.97 
 670 , 10572.17 
 671 , 10587.37 
 672 , 10598.46 
 673 , 10606.54 
 674 , 10612.85 
 675 , 10617.96 
 676 , 10622.73 
 677 , 10629.59 
 678 , 10641.38 
 679 , 10658.08 
 680 , 10676.19 
 681 , 10693.76 
 682 , 10714.31 
 683 , 10741.32 
 684 , 10769.63 
 685 , 10790.04 
 686 , 10800.97 
 687 , 10809.1 
 688 , 10818.48 
 689 , 10825.66 
 690 , 10826.94 
 691 , 10822.79 
 692 , 10815.09 
 693 , 10804.06 
 694 , 10788.77 
 695 , 10769.66 
 696 , 10749.51 
 697 , 10731.18 
 698 , 10717.27 
 699 , 10709.97 
 700 , 10708.12 
 701 , 10708.83 
 702 , 10710.05 
 703 , 10710.71 
 704 , 10711.75 
 705 , 10718.75 
 706 , 10736.1 
 707 , 10758.48 
 708 , 10777.71 
