03-12-2024,13:42:58
Wavenumber(cm-1),Intensity
 250 , 3436.65 
 251 , 3436.65 
 252 , 3413.35 
 253 , 3387.81 
 254 , 3363 
 255 , 3340.31 
 256 , 3317.71 
 257 , 3293.33 
 258 , 3270.9 
 259 , 3256.99 
 260 , 3253.5 
 261 , 3254.3 
 262 , 3253.41 
 263 , 3250.81 
 264 , 3248.76 
 265 , 3246.71 
 266 , 3240.31 
 267 , 3226.03 
 268 , 3205.69 
 269 , 3182.72 
 270 , 3160.85 
 271 , 3144.06 
 272 , 3135.13 
 273 , 3132.69 
 274 , 3134.47 
 275 , 3138.4 
 276 , 3142.53 
 277 , 3145.02 
 278 , 3144.37 
 279 , 3139.24 
 280 , 3129.82 
 281 , 3117.17 
 282 , 3103.35 
 283 , 3092.19 
 284 , 3087.14 
 285 , 3087.28 
 286 , 3089.84 
 287 , 3092.49 
 288 , 3093.55 
 289 , 3091.86 
 290 , 3088.45 
 291 , 3085.01 
 292 , 3081.54 
 293 , 3076.3 
 294 , 3068.42 
 295 , 3060.18 
 296 , 3054.31 
 297 , 3050.41 
 298 , 3045.77 
 299 , 3038.86 
 300 , 3031.03 
 301 , 3024.05 
 302 , 3019.39 
 303 , 3018.35 
 304 , 3021.38 
 305 , 3027.36 
 306 , 3035.1 
 307 , 3043.79 
 308 , 3052.73 
 309 , 3059.76 
 310 , 3060.97 
 311 , 3054.04 
 312 , 3043.45 
 313 , 3035.18 
 314 , 3030.92 
 315 , 3028.83 
 316 , 3027.69 
 317 , 3028.31 
 318 , 3031.68 
 319 , 3037.04 
 320 , 3042.59 
 321 , 3047.49 
 322 , 3052.61 
 323 , 3058.76 
 324 , 3065.25 
 325 , 3070.73 
 326 , 3073.63 
 327 , 3071.98 
 328 , 3064.62 
 329 , 3053.72 
 330 , 3042.19 
 331 , 3032.01 
 332 , 3024.34 
 333 , 3019.98 
 334 , 3018.67 
 335 , 3020 
 336 , 3023.2 
 337 , 3027.29 
 338 , 3031.03 
 339 , 3032.73 
 340 , 3031.28 
 341 , 3029.36 
 342 , 3030.88 
 343 , 3035.31 
 344 , 3037.22 
 345 , 3033.21 
 346 , 3028.17 
 347 , 3028.23 
 348 , 3031.77 
 349 , 3031.56 
 350 , 3024.83 
 351 , 3018.77 
 352 , 3020.55 
 353 , 3026.81 
 354 , 3029.47 
 355 , 3026.43 
 356 , 3023.93 
 357 , 3026.77 
 358 , 3030.67 
 359 , 3029.12 
 360 , 3021.98 
 361 , 3014.76 
 362 , 3010.71 
 363 , 3006.68 
 364 , 2999.16 
 365 , 2991.36 
 366 , 2990.09 
 367 , 2997.48 
 368 , 3007.85 
 369 , 3015.77 
 370 , 3021.25 
 371 , 3025.99 
 372 , 3028.68 
 373 , 3025.02 
 374 , 3013.14 
 375 , 2999.32 
 376 , 2990.77 
 377 , 2988 
 378 , 2987.42 
 379 , 2987.29 
 380 , 2989.48 
 381 , 2995.48 
 382 , 3002.6 
 383 , 3006.72 
 384 , 3008.57 
 385 , 3014.1 
 386 , 3026.97 
 387 , 3042.43 
 388 , 3054.38 
 389 , 3061.68 
 390 , 3066.46 
 391 , 3069.41 
 392 , 3068.43 
 393 , 3061.87 
 394 , 3052.36 
 395 , 3044.09 
 396 , 3038.91 
 397 , 3036.18 
 398 , 3035.48 
 399 , 3037.72 
 400 , 3043.87 
 401 , 3052.46 
 402 , 3060.51 
 403 , 3066.56 
 404 , 3071.96 
 405 , 3077.89 
 406 , 3082.98 
 407 , 3085 
 408 , 3083.54 
 409 , 3080.05 
 410 , 3075.56 
 411 , 3069.5 
 412 , 3061.14 
 413 , 3051.16 
 414 , 3041.02 
 415 , 3031.96 
 416 , 3025.01 
 417 , 3020.96 
 418 , 3019.72 
 419 , 3020.88 
 420 , 3023.69 
 421 , 3027.11 
 422 , 3030.27 
 423 , 3032.76 
 424 , 3034.36 
 425 , 3035.93 
 426 , 3038.84 
 427 , 3043.36 
 428 , 3048.18 
 429 , 3051.9 
 430 , 3053 
 431 , 3050.12 
 432 , 3043.91 
 433 , 3036.58 
 434 , 3029.71 
 435 , 3023.41 
 436 , 3017.92 
 437 , 3015.47 
 438 , 3018.95 
 439 , 3027.73 
 440 , 3037.16 
 441 , 3044.11 
 442 , 3050.71 
 443 , 3059.7 
 444 , 3068.6 
 445 , 3071.95 
 446 , 3068.97 
 447 , 3066.38 
 448 , 3069.65 
 449 , 3074.97 
 450 , 3076.2 
 451 , 3074.48 
 452 , 3077.05 
 453 , 3086.43 
 454 , 3094 
 455 , 3091.25 
 456 , 3081.22 
 457 , 3071.66 
 458 , 3064.82 
 459 , 3056.63 
 460 , 3044.78 
 461 , 3033.82 
 462 , 3028.94 
 463 , 3028.2 
 464 , 3025.46 
 465 , 3018.62 
 466 , 3011.89 
 467 , 3008.74 
 468 , 3006.88 
 469 , 3002.6 
 470 , 2995.41 
 471 , 2987.43 
 472 , 2980.05 
 473 , 2973.07 
 474 , 2966.42 
 475 , 2962.1 
 476 , 2962.84 
 477 , 2969.04 
 478 , 2978.67 
 479 , 2989.85 
 480 , 3001.31 
 481 , 3011.9 
 482 , 3020.54 
 483 , 3026.21 
 484 , 3028.19 
 485 , 3026.14 
 486 , 3020.16 
 487 , 3011.73 
 488 , 3002.51 
 489 , 2992.43 
 490 , 2980.34 
 491 , 2967.03 
 492 , 2956.46 
 493 , 2951.93 
 494 , 2952.45 
 495 , 2955.79 
 496 , 2959.44 
 497 , 2960.68 
 498 , 2958.67 
 499 , 2956.26 
 500 , 2955.95 
 501 , 2955.7 
 502 , 2952.07 
 503 , 2945.86 
 504 , 2941.74 
 505 , 2941.71 
 506 , 2941 
 507 , 2935.01 
 508 , 2927.24 
 509 , 2924.36 
 510 , 2927.53 
 511 , 2931.99 
 512 , 2934.26 
 513 , 2935.47 
 514 , 2937.06 
 515 , 2936.93 
 516 , 2931.32 
 517 , 2920.08 
 518 , 2907.52 
 519 , 2897.61 
 520 , 2892.24 
 521 , 2892.46 
 522 , 2895.66 
 523 , 2897.22 
 524 , 2896.04 
 525 , 2895.95 
 526 , 2899.29 
 527 , 2901.96 
 528 , 2898.94 
 529 , 2891.63 
 530 , 2885.24 
 531 , 2881.57 
 532 , 2877.27 
 533 , 2869.96 
 534 , 2862.89 
 535 , 2860.45 
 536 , 2863.4 
 537 , 2870.16 
 538 , 2879.21 
 539 , 2889.18 
 540 , 2898.69 
 541 , 2906.2 
 542 , 2910.18 
 543 , 2909.61 
 544 , 2903.86 
 545 , 2893.91 
 546 , 2883.32 
 547 , 2875.15 
 548 , 2868.9 
 549 , 2863.28 
 550 , 2859.75 
 551 , 2861.66 
 552 , 2869.29 
 553 , 2877.58 
 554 , 2881.83 
 555 , 2881.61 
 556 , 2877.68 
 557 , 2870.69 
 558 , 2861.23 
 559 , 2850.25 
 560 , 2839.27 
 561 , 2829.75 
 562 , 2822.7 
 563 , 2818.89 
 564 , 2817.51 
 565 , 2816.67 
 566 , 2815.56 
 567 , 2815.3 
 568 , 2817.11 
 569 , 2821.8 
 570 , 2829.89 
 571 , 2839.73 
 572 , 2848.17 
 573 , 2853.36 
 574 , 2855.61 
 575 , 2854.64 
 576 , 2847.24 
 577 , 2829.98 
 578 , 2806.14 
 579 , 2783.23 
 580 , 2764.64 
 581 , 2747.4 
 582 , 2729.49 
 583 , 2714.32 
 584 , 2706.03 
 585 , 2703.95 
 586 , 2704.58 
 587 , 2707.29 
 588 , 2715.42 
 589 , 2730.88 
 590 , 2749.56 
 591 , 2766.43 
 592 , 2779.81 
 593 , 2789.88 
 594 , 2796.81 
 595 , 2800.82 
 596 , 2801.83 
 597 , 2798.92 
 598 , 2791.37 
 599 , 2781.28 
 600 , 2771.99 
 601 , 2764.95 
 602 , 2759.47 
 603 , 2755.67 
 604 , 2755.93 
 605 , 2762.49 
 606 , 2773.89 
 607 , 2787.24 
 608 , 2800.02 
 609 , 2810.07 
 610 , 2816.67 
 611 , 2822.11 
 612 , 2828.29 
 613 , 2832.76 
 614 , 2831.93 
 615 , 2826.51 
 616 , 2820.58 
 617 , 2816.38 
 618 , 2812.67 
 619 , 2808.57 
 620 , 2806.21 
 621 , 2808.15 
 622 , 2811.97 
